date, pm25, pm10, o3, no2
2023/5/1, 32, 18, 39, 2
2023/5/2, 34, 13, 36, 3
2023/5/3, 38, 19, 43, 6
2023/5/4, 38, 16, 29, 5
2023/5/5, 34, 14, 8, 5
2023/5/6, 31, 18, 23, 5
2023/5/7, 33, 36, 29, 4
2023/5/8, 52, 20, 20, 4
2023/5/9, 30, 19, 25, 3
2023/5/10, 29, 22, 28, 5
2023/5/11, 49, 11, 34, 3
2023/5/12, 17, 17, 47, 3
2023/5/13, 38, 20, 41, 2
2023/5/14, 44, 21, 28, 5
2023/5/15, 54, 13, 30, 1
2023/5/16, 17, 12, 34, 2
2023/5/17, 27, 15, 35, 2
2023/5/18, 35, 16, 39, 3
2023/5/19, 33, 14, 37, 2
2023/5/20, 29, 15, 40, 2
2023/5/21, 39, 36, 38, 4
2023/5/22, 61, 18, 33, 1
2023/5/23, 28, 15, 33, 3
2023/5/24, 25, 15, 34, 2
2023/5/25, 36, 23, 37, 1
2023/5/26, 45, 22, 44, 2
2023/5/27, 44, 20, 44, 3
2023/5/28, 47, 15, 36, 1
2023/5/29, 31, 16, 38, 1
2023/5/30, 35, 10, 41, 3
2023/5/31, 33, , , 
2023/4/1, 8, 9, 30, 1
2023/4/2, 36, 11, 33, 5
2023/4/3, 39, 13, 36, 7
2023/4/4, 49, 22, 37, 9
2023/4/5, 66, 21, 26, 8
2023/4/6, 63, 11, 30, 4
2023/4/7, 33, 18, 31, 4
2023/4/8, 61, 24, 34, 4
2023/4/9, 78, 11, 32, 2
2023/4/10, 34, 15, 35, 2
2023/4/11, 22, 10, 34, 2
2023/4/12, 19, 8, 35, 2
2023/4/13, 19, 12, 35, 5
2023/4/14, 27, 15, 36, 5
2023/4/15, 37, 12, 25, 2
2023/4/16, 47, 23, 36, 3
2023/4/17, 70, 17, 26, 3
2023/4/18, 59, 13, 41, 2
2023/4/19, 44, 13, 34, 3
2023/4/20, 30, 15, 35, 4
2023/4/21, 45, 14, 24, 5
2023/4/22, 38, 13, 31, 2
2023/4/23, 34, 10, 35, 1
2023/4/24, 17, 13, 36, 2
2023/4/25, 21, 14, 35, 6
2023/4/26, 46, 13, 38, 4
2023/4/27, 43, 15, 23, 5
2023/4/28, 40, 18, 36, 2
2023/4/29, 48, 11, 37, 2
2023/4/30, 40, 17, 31, 6
2023/1/2, 27, 11, 25, 4
2023/1/3, 34, 9, 25, 1
2023/1/4, 11, 25, 25, 4
2023/1/5, 16, 7, 23, 2
2023/1/6, 1, 7, 22, 1
2023/1/9, 3, 10, 22, 4
2023/1/10, 14, 12, 28, 2
2023/1/13, 19, 13, 27, 2
2023/1/14, 24, 9, 28, 1
2023/1/15, 15, 5, 27, 3
2023/1/16, 17, 15, 26, 9
2023/1/17, 33, 17, 15, 14
2023/1/18, 65, 17, 13, 10
2023/1/19, 66, 15, 12, 10
2023/1/20, 65, 27, 12, 8
2023/1/21, 90, 15, 16, 5
2023/1/22, 60, 15, 14, 6
2023/1/23, 65, 18, 14, 6
2023/1/24, 67, 47, 8, 11
2023/1/25, 126, 20, 25, 10
2023/1/26, 72, 9, 24, 3
2023/1/27, 44, 15, 23, 5
2023/1/28, 58, 27, 17, 9
2023/1/29, 89, 18, 24, 3
2023/1/30, 52, 18, 16, 7
2023/1/31, 53, 17, 25, 5
2023/2/1, 46, 15, 22, 4
2023/2/2, 38, 10, 23, 4
2023/2/3, 37, 15, 20, 4
2023/2/4, 48, 18, 28, 3
2023/2/5, 50, 22, 17, 8
2023/2/6, 46, 21, 12, 15
2023/2/7, 69, 25, 15, 17
2023/2/8, 71, 26, 11, 13
2023/2/9, 78, 38, 16, 10
2023/2/10, 104, 28, 19, 8
2023/2/11, 79, 22, 17, 7
2023/2/12, 70, 27, 14, 12
2023/2/13, 73, 34, 15, 13
2023/2/14, 89, 40, 17, 13
2023/2/15, 95, 38, 18, 7
2023/2/16, 86, 10, 22, 2
2023/2/17, 21, 10, 25, 2
2023/2/18, 21, 10, 26, 2
2023/2/19, 20, 13, 22, 3
2023/2/20, 44, 15, 18, 4
2023/2/21, 50, 24, 9, 8
2023/2/22, 66, 24, 24, 7
2023/2/23, 68, 14, 26, 5
2023/2/24, 29, 15, 29, 2
2023/2/25, 23, 10, 28, 3
2023/2/26, 31, 10, 26, 6
2023/2/27, 43, 15, 27, 8
2023/2/28, 54, 17, 26, 8
2023/3/1, 60, 21, 21, 6
2023/3/2, 60, 17, 29, 3
2023/3/3, 51, 15, 29, 1
2023/3/4, 23, 9, 28, 2
2023/3/5, 21, 20, 22, 7
2023/3/6, 58, 6, 23, 4
2023/3/7, 21, 12, 21, 7
2023/3/8, 50, 17, 24, 9
2023/3/9, 57, 7, 29, 3
2023/3/10, 14, 16, 30, 6
2023/3/11, 42, 19, 29, 3
2023/3/12, 53, 10, 26, 1
2023/3/13, 20, 15, 31, 3
2023/3/14, 32, 11, 30, 5
2023/3/15, 47, 10, 29, 4
2023/3/16, 40, 15, 30, 5
2023/3/17, 32, 18, 32, 3
2023/3/18, 34, 10, 28, 1
2023/3/19, 26, 11, 26, 4
2023/3/20, 48, 11, 26, 4
2023/3/21, 37, 8, 28, 2
2023/3/22, 16, 10, 31, 2
2023/3/23, 17, 9, 32, 1
2023/3/24, 7, 11, 32, 1
2023/3/25, 18, 14, 31, 2
2023/3/26, 20, 12, 32, 2
2023/3/27, 28, 12, 35, 7
2023/3/28, 44, 10, 27, 5
2023/3/29, 31, 10, 34, 2
2023/3/30, 21, 7, 30, 2
2023/3/31, 12, 4, 28, 2
2022/10/1, 34, 20, 18, 2
2022/10/2, 50, 18, 21, 7
2022/10/3, 51, 19, 22, 6
2022/10/4, 57, 12, 26, 2
2022/10/5, 47, 17, 22, 5
2022/10/6, 47, 21, 24, 5
2022/10/7, 47, 18, 20, 3
2022/10/8, 50, 16, 22, 5
2022/10/9, 56, 15, 17, 6
2022/10/10, 56, 22, 22, 8
2022/10/11, 59, 22, 17, 8
2022/10/12, 65, 20, 13, 7
2022/10/13, 64, 13, 7, 5
2022/10/14, 51, 16, 18, 4
2022/10/15, 46, 13, 22, 2
2022/10/16, 39, 22, 9, 6
2022/10/17, 53, 17, 20, 7
2022/10/18, 57, 15, 16, 8
2022/10/19, 52, 20, 6, 7
2022/10/20, 58, 16, 18, 5
2022/10/21, 43, 19, 19, 4
2022/10/22, 42, 16, 19, 4
2022/10/23, 42, 11, 25, 2
2022/10/24, 37, 12, 18, 4
2022/10/25, 35, 15, 18, 6
2022/10/26, 51, 19, 15, 6
2022/10/27, 43, 30, 14, 7
2022/10/28, 48, 30, 14, 7
2022/10/29, 57, 29, 15, 5
2022/10/30, 49, 28, 9, 9
2022/10/31, 56, 15, 26, 1
2022/11/1, 24, 16, 24, 2
2022/11/2, 28, 13, 20, 3
2022/11/3, 24, 11, 17, 6
2022/11/4, 17, 12, 14, 6
2022/11/5, 44, 9, 19, 1
2022/11/6, 25, 12, 22, 2
2022/11/7, 24, 11, 19, 3
2022/11/8, 14, 12, 22, 3
2022/11/9, 18, 15, 20, 4
2022/11/10, 38, 18, 14, 7
2022/11/11, 45, 27, 8, 12
2022/11/12, 79, 22, 9, 14
2022/11/13, 59, 21, 5, 13
2022/11/14, 54, 12, 19, 4
2022/11/15, 28, 13, 19, 4
2022/11/16, 18, 7, 26, 2
2022/11/17, 13, 13, 15, 6
2022/11/18, 36, 14, 8, 6
2022/11/19, 58, 18, 19, 7
2022/11/20, 61, 13, 15, 6
2022/11/21, 37, 10, 19, 3
2022/11/22, 13, 10, 21, 3
2022/11/23, 13, 17, 21, 4
2022/11/24, 31, 15, 20, 7
2022/11/25, 38, 18, 15, 7
2022/11/26, 55, 10, 12, 4
2022/11/27, 43, 14, 12, 8
2022/11/28, 51, 17, 9, 11
2022/11/29, 66, 17, 5, 11
2022/11/30, 66, 24, 6, 8
2022/12/1, 79, 29, 11, 5
2022/12/2, 86, 21, 8, 5
2022/12/3, 77, 27, 4, 7
2022/12/4, 83, 16, 1, 6
2022/12/5, 64, 9, 13, 6
2022/12/6, 32, 9, 18, 8
2022/12/7, 36, 14, 12, 9
2022/12/8, 49, 28, 15, 9
2022/12/9, 75, 29, 11, 8
2022/12/10, 83, 16, 15, 4
2022/12/11, 57, 23, 10, 13
2022/12/12, 60, 29, 4, 17
2022/12/13, 72, 26, 7, 15
2022/12/14, 65, 43, 1, 20
2022/12/15, 118, 37, 3, 17
2022/12/16, 92, 42, 8, 12
2022/12/17, 113, 27, 9, 13
2022/12/18, 83, 9, 18, 4
2022/12/19, 36, 8, 18, 3
2022/12/20, 18, 12, 16, 6
2022/12/21, 27, 10, 20, 5
2022/12/22, 29, 12, 25, 4
2022/12/23, 26, 29, 24, 3
2022/12/24, 36, 12, 15, 4
2022/12/25, 35, 12, 25, 2
2022/12/26, 21, 12, 21, 4
2022/12/27, 37, 6, 23, 1
2022/12/28, 24, 9, 28, 1
2022/12/29, 13, 10, 22, 2
2022/12/30, 14, 12, 24, 
2022/12/31, 22, 17, 23, 1
2023/1/1, 30, 11, 22, 2
2022/7/1, 45, 11, 30, 3
2022/7/7, 45, 13, 33, 2
2022/7/8, 50, 18, 26, 5
2022/7/9, 61, 13, 26, 1
2022/7/10, 40, 9, 16, 3
2022/7/11, 47, 16, 38, 5
2022/7/12, 51, 22, 39, 6
2022/7/13, 54, 18, 32, 2
2022/7/14, 45, 12, 31, 2
2022/7/15, 42, 13, 34, 3
2022/7/16, 48, 13, 42, 3
2022/7/17, 46, 20, 64, 5
2022/7/18, 47, 28, 82, 9
2022/7/19, 61, 30, 46, 3
2022/7/20, 62, 12, 24, 2
2022/7/21, 44, 11, 32, 3
2022/7/22, 45, 12, 40, 3
2022/7/23, 46, 18, 33, 3
2022/7/24, 49, 24, 26, 4
2022/7/25, 43, 19, 23, 2
2022/7/26, 34, 11, 30, 3
2022/7/27, 42, 16, 36, 2
2022/7/28, 43, 14, 46, 4
2022/7/29, 46, 16, 44, 3
2022/7/30, 55, 15, 24, 3
2022/7/31, 50, 11, 30, 2
2022/8/1, 36, 15, 33, 4
2022/8/2, 40, 21, 36, 4
2022/8/3, 36, 23, 32, 6
2022/8/4, 47, 10, 30, 2
2022/8/5, 38, 10, 31, 3
2022/8/6, 40, 11, 36, 3
2022/8/7, 45, 12, 31, 3
2022/8/8, 51, 13, 37, 2
2022/8/9, 41, 13, 49, 3
2022/8/10, 46, 21, 69, 4
2022/8/11, 55, 24, 71, 5
2022/8/12, 56, 23, 57, 4
2022/8/13, 42, 22, 63, 5
2022/8/14, 55, 20, 39, 4
2022/8/15, 50, 21, 60, 5
2022/8/16, 49, 24, 39, 5
2022/8/17, 69, 20, 47, 4
2022/8/18, 63, 19, 19, 6
2022/8/19, 64, 20, 34, 4
2022/8/20, 52, 17, 33, 6
2022/8/21, 59, 17, 41, 6
2022/8/22, 56, 21, 39, 7
2022/8/23, 57, 19, 56, 6
2022/8/24, 54, 24, 68, 6
2022/8/25, 60, 16, 28, 2
2022/8/26, 39, 14, 28, 3
2022/8/27, 47, 12, 29, 1
2022/8/28, 43, 16, 34, 3
2022/8/29, 48, 15, 35, 3
2022/8/30, 50, 14, 36, 3
2022/8/31, 47, 19, 43, 4
2022/9/1, 54, 26, 43, 5
2022/9/2, 61, 21, 48, 5
2022/9/3, 49, 19, 37, 4
2022/9/4, 51, 20, 46, 6
2022/9/5, 54, 15, 43, 4
2022/9/6, 45, 13, 34, 4
2022/9/7, 40, 12, 25, 4
2022/9/8, 31, 10, 20, 2
2022/9/9, 22, 12, 19, 3
2022/9/10, 36, 15, 31, 4
2022/9/11, 54, 16, 36, 7
2022/9/12, 52, 16, 31, 9
2022/9/13, 50, 12, 17, 5
2022/9/14, 35, 17, 21, 5
2022/9/15, 49, 13, 22, 2
2022/9/16, 44, 13, 22, 1
2022/9/17, 47, 7, 18, 1
2022/9/18, 45, 12, 23, 4
2022/9/19, 50, 14, 23, 4
2022/9/20, 54, 17, 26, 6
2022/9/21, 60, 22, 31, 8
2022/9/22, 67, 20, 21, 10
2022/9/23, 66, 15, 26, 3
2022/9/24, 55, 11, 23, 3
2022/9/25, 39, 10, 18, 4
2022/9/26, 38, 8, 18, 3
2022/9/27, 33, 13, 19, 5
2022/9/28, 38, 18, 18, 6
2022/9/29, 49, 19, 22, 5
2022/9/30, 55, 11, 23, 2
2022/4/1, 31, 10, 30, 2
2022/4/2, 34, 13, 31, 4
2022/4/3, 43, 10, 26, 5
2022/4/4, 45, 9, 21, 3
2022/4/5, 35, 12, 26, 3
2022/4/6, 34, 12, 30, 1
2022/4/7, 20, 11, 29, 4
2022/4/8, 40, 12, 31, 2
2022/4/9, 36, 18, 33, 5
2022/4/10, 55, 18, 34, 11
2022/4/11, 59, 16, 34, 5
2022/4/12, 48, 39, 18, 10
2022/4/13, 72, 34, 30, 7
2022/4/14, 64, 17, 29, 4
2022/4/15, 60, 16, 34, 4
2022/4/16, 62, 14, 33, 4
2022/4/17, 51, 15, 38, 5
2022/4/18, 47, 14, 38, 6
2022/4/19, 53, 13, 36, 5
2022/4/20, 48, 17, 34, 5
2022/4/21, 46, 18, 29, 3
2022/4/22, 50, 21, 34, 3
2022/4/23, 65, 14, 37, 2
2022/4/24, 41, 17, 22, 4
2022/4/25, 54, 15, 34, 3
2022/4/26, 44, 17, 37, 3
2022/4/27, 52, 19, 36, 4
2022/4/28, 55, 22, 28, 4
2022/4/29, 59, 15, 30, 2
2022/4/30, 48, 15, 35, 3
2022/5/1, 53, 18, 38, 5
2022/5/2, 52, 16, 30, 4
2022/5/3, 35, 18, 30, 4
2022/5/4, 42, 28, 31, 6
2022/5/5, 64, 25, 30, 5
2022/5/6, 61, 25, 31, 7
2022/5/7, 59, 15, 35, 1
2022/5/8, 43, 21, 40, 4
2022/5/9, 47, 33, 38, 6
2022/5/10, 54, 19, 33, 3
2022/5/11, 33, 16, 31, 3
2022/5/12, 47, 18, 31, 3
2022/5/13, 52, 23, 39, 4
2022/5/14, 54, 24, 47, 4
2022/5/15, 61, 23, 30, 4
2022/5/16, 51, 20, 35, 8
2022/5/17, 47, 24, 39, 6
2022/5/18, 49, 34, 31, 5
2022/5/19, 56, 26, 30, 7
2022/5/20, 61, 14, 29, 2
2022/5/21, 49, 18, 44, 4
2022/5/22, 53, 22, 29, 6
2022/5/23, 57, 12, 28, 2
2022/5/24, 39, 13, 28, 3
2022/5/25, 48, 14, 27, 1
2022/5/26, 55, 17, 30, 1
2022/5/27, 50, 15, 28, 1
2022/5/28, 49, 11, 24, 1
2022/5/29, 47, 14, 30, 2
2022/5/30, 43, 17, 30, 8
2022/5/31, 57, 19, 29, 5
2022/6/1, 59, 13, 39, 4
2022/6/2, 53, 14, 43, 4
2022/6/3, 49, 14, 41, 2
2022/6/4, 48, 24, 29, 4
