date,min,max,median,q1,q3,stdev,count
2021-10-20T00:00:00.000Z,4.4,13.9,6.29,5.42,8.16,1.966,144
2021-10-21T00:00:00.000Z,1.1,15.33,4.23,2.9,6.4,2.417,319
2021-10-22T00:00:00.000Z,0.77,14.47,5.23,3.79,6.55,2.073,328
2021-10-23T00:00:00.000Z,0.6,13.67,4.37,3.13,5.8,2.22,442
2021-10-24T00:00:00.000Z,1.3,176.33,14.75,4.07,32.36,27.009,322
2021-10-25T00:00:00.000Z,5.43,42.27,16.07,11.27,21.87,6.959,326
2021-10-26T00:00:00.000Z,7.27,78.13,34.74,22.43,53.5,18.384,346
2021-10-27T00:00:00.000Z,4.4,48.3,20.93,9.94,26.22,11.174,345
2021-10-28T00:00:00.000Z,7.7,79.13,18.23,13.63,37.53,17.84,323
2021-10-29T00:00:00.000Z,17.32,66.33,35.49,29.57,41.89,11.066,292
2021-10-30T00:00:00.000Z,15.13,42.8,24.65,20.03,33.03,7.335,326
2021-10-31T00:00:00.000Z,11.57,173.87,28.2,17.63,31.27,13.515,295
2021-11-01T00:00:00.000Z,13.77,45.6,25.37,20.23,28.07,5.241,322
2021-11-02T00:00:00.000Z,35.47,99.7,59.35,43.1,69.17,15.296,310
2021-11-03T00:00:00.000Z,14.03,73.27,29.63,23.3,38.9,13.055,311
2021-11-04T00:00:00.000Z,2.52,46.33,25.35,13.57,32.79,12.078,292
2021-11-05T00:00:00.000Z,1.5,218.6,6.37,4.42,8.77,12.121,349
2021-11-06T00:00:00.000Z,1.93,23.37,5.97,4.4,8.43,4.521,341
2022-02-01T00:00:00.000Z,1.4,59.3,14.8,6.53,23.23,10.819,370
2022-02-02T00:00:00.000Z,3.67,105.53,24.53,15.43,33.83,13.037,543
2022-02-03T00:00:00.000Z,5.3,64.03,20.39,10.93,36.43,13.293,378
2022-02-04T00:00:00.000Z,23.23,93.5,49.43,40.79,58.75,13.778,393
2022-02-05T00:00:00.000Z,4.5,50.7,11.2,9.11,13.25,5.045,376
2022-02-06T00:00:00.000Z,1.7,32.86,7.75,4.95,10.95,3.882,548
2022-02-07T00:00:00.000Z,1.23,22.1,6.7,4.88,10.85,4.425,357
2022-02-08T00:00:00.000Z,3.57,28.8,14.47,11.17,17.77,4.796,346
2022-02-09T00:00:00.000Z,3.87,44.37,12.77,10.4,15.68,4.422,352
2022-02-10T00:00:00.000Z,5.67,40.43,13.2,10.33,16.57,4.689,387
2022-02-11T00:00:00.000Z,2.1,26.1,11,6.92,14.59,4.927,349
2022-02-12T00:00:00.000Z,1.4,63.6,9.82,5.83,14.27,8.51,554
2022-02-13T00:00:00.000Z,12.03,91.43,22.12,19.73,24.73,6.757,574
2022-02-14T00:00:00.000Z,8.57,60.97,19.12,13.33,25.63,6.932,570
2022-02-15T00:00:00.000Z,28.23,134.8,41.1,36.97,52.73,12.933,577
2022-02-16T00:00:00.000Z,7.2,52.6,20.07,11.03,40.97,14.27,578
2022-02-17T00:00:00.000Z,0.87,17,6.09,3.7,9,3.631,570
2022-02-18T00:00:00.000Z,3.97,37.67,11.49,8.9,14.7,4.302,578
2022-02-19T00:00:00.000Z,0.53,20.87,5.27,3.4,7.53,3.391,573
2022-02-20T00:00:00.000Z,2.9,22.87,7.57,6.07,9.63,2.762,577
2022-02-21T00:00:00.000Z,0.9,13.1,4.33,3.2,6.17,2.446,567
2022-02-22T00:00:00.000Z,1.1,20.27,4.48,3,6.97,3.424,450
2022-02-23T00:00:00.000Z,1.37,246.77,10.85,6.47,18.5,16.571,576
