date,min,max,median,q1,q3,stdev,count
2021-10-20T00:00:00.000Z,3.67,9.69,4.73,4.4,5.69,1.486,144
2021-10-21T00:00:00.000Z,0.8,8,1.67,1.3,4.17,2.078,319
2021-10-22T00:00:00.000Z,0.7,7.53,2.33,1.85,2.77,0.74,328
2021-10-23T00:00:00.000Z,0.6,8.43,2.17,1.7,2.8,0.938,442
2021-10-24T00:00:00.000Z,1.1,156.87,9.15,2.73,19.89,20.747,322
2021-10-25T00:00:00.000Z,4.23,28.87,11.33,6.7,15.8,5.068,326
2021-10-26T00:00:00.000Z,6.17,52.67,25.5,18.57,36.2,12.322,346
2021-10-27T00:00:00.000Z,3.8,33.36,17.53,7.3,21.45,8.071,345
2021-10-28T00:00:00.000Z,6.6,46.23,15.9,11.9,31.17,11.572,323
2021-10-29T00:00:00.000Z,15.53,48.7,29.37,25.32,33.4,8.021,292
2021-10-30T00:00:00.000Z,12.37,33.43,19.39,16.63,26.33,5.535,326
2021-10-31T00:00:00.000Z,10.47,112.03,23.6,15.03,25.4,8.987,295
2021-11-01T00:00:00.000Z,12.2,32.17,20.64,17.17,22.42,3.538,322
2021-11-02T00:00:00.000Z,26.93,56.87,40.72,34.2,44.37,6.65,310
2021-11-03T00:00:00.000Z,10.1,41.17,20.1,16.3,25.63,7.459,311
2021-11-04T00:00:00.000Z,2.33,32.79,19.73,12.1,25.79,9.11,292
2021-11-05T00:00:00.000Z,1.4,168.53,3.7,2.83,4.83,9.297,349
2021-11-06T00:00:00.000Z,1.37,18.63,3.5,2.5,5.42,4.175,341
2022-02-01T00:00:00.000Z,1.17,38.7,9.77,3.43,14.97,6.793,370
2022-02-02T00:00:00.000Z,2.97,51.77,17.67,10.23,23.93,8.434,543
2022-02-03T00:00:00.000Z,4.13,34.57,14.37,7.57,22.63,7.632,378
2022-02-04T00:00:00.000Z,18.17,52.83,31.37,27.8,35.02,5.953,393
2022-02-05T00:00:00.000Z,2.37,38.43,3.83,3.4,4.5,3.595,376
2022-02-06T00:00:00.000Z,1.47,24.37,5.29,4.13,7.97,2.937,548
2022-02-07T00:00:00.000Z,0.93,5.77,2.29,1.8,3.51,1.169,357
2022-02-08T00:00:00.000Z,3.17,20.3,5.09,4.4,6.13,1.865,346
