date, pm25, pm10, o3, no2, so2, co
2020/7/1, 39, 9, 27, 11, 44, 1
2020/7/2, 38, 11, 28, 14, 42, 3
2020/7/3, 44, 8, 35, 5, 46, 
2020/7/4, 35, 10, 27, 9, 46, 1
2020/7/5, 41, 6, 28, 10, 42, 2
2020/7/6, 22, 5, 33, 6, 40, 1
2020/7/7, 18, 5, 32, 6, 36, 1
2020/7/8, 17, 4, 34, 6, 40, 1
2020/7/9, 17, 12, 32, 9, 25, 2
2020/7/10, 48, 5, 34, 7, 14, 1
2020/7/11, 20, 5, 34, 4, 13, 
2020/7/12, 17, 5, 31, 7, 18, 1
2020/7/13, 19, 9, 33, 9, 22, 2
2020/7/14, 36, 12, 33, 9, 25, 3
2020/7/15, 47, 14, 32, 15, 22, 2
2020/7/16, 53, 11, 32, 8, 20, 2
2020/7/17, 44, 11, 32, 10, 30, 2
2020/7/18, 44, 13, 36, 9, 31, 1
2020/7/19, 49, 15, 25, 17, 29, 2
2020/7/20, 58, 5, 37, 4, 19, 
2020/7/21, 20, 2, 34, 3, 15, 
2020/7/22, 8, 1, , , , 
2020/4/1, 56, 18, 39, , 3, 
2020/4/2, 63, 16, 41, 1, 5, 
2020/4/3, 54, 9, 38, 4, 1, 
2020/4/4, 32, 22, 33, 4, 4, 2
2020/4/5, 65, 34, 43, 5, 16, 1
2020/4/6, 101, 39, 38, 8, 14, 1
2020/4/7, 113, 29, 32, 9, 13, 3
2020/4/8, 75, 30, 37, 7, 5, 1
2020/4/9, 88, 24, 37, 8, 6, 1
2020/4/10, 72, 31, 33, 8, 6, 3
2020/4/11, 88, 34, 39, 2, 14, 
2020/4/12, 94, 15, 39, 6, 8, 
2020/4/13, 50, 7, 37, 6, 1, 
2020/4/14, 26, 22, 39, 10, 6, 1
2020/4/15, 68, 24, 40, 6, 7, 
2020/4/16, 72, 10, 39, 5, 2, 
2020/4/17, 33, 11, 40, 4, 3, 1
2020/4/18, 39, 13, 42, 2, 1, 1
2020/4/19, 45, 7, 40, 3, 4, 1
2020/4/20, 31, 12, 38, 3, 7, 2
2020/4/21, 43, 17, 39, 5, 9, 2
2020/4/22, 56, 11, 40, 6, 8, 2
2020/4/23, 40, 17, 39, 6, 8, 1
2020/4/24, 62, 7, 41, 2, 3, 1
2020/4/25, 26, 7, 39, 4, 3, 1
2020/4/26, 29, 15, 35, 7, 14, 2
2020/4/27, 53, 28, 37, 9, 13, 2
2020/4/28, 85, 5, 37, 3, 3, 1
2020/4/29, 20, 12, 42, 5, 9, 2
2020/4/30, 46, 24, 41, 5, 6, 1
2020/5/1, 78, 25, 31, 7, 7, 2
2020/5/2, 78, 23, 36, 5, 8, 1
2020/5/3, 71, 20, 36, 5, 10, 1
2020/5/4, 64, 19, 33, 6, 6, 2
2020/5/5, 67, 10, 39, 3, 6, 
2020/5/6, 39, 9, 38, 6, 6, 
2020/5/7, 33, 18, 33, 8, 10, 1
2020/5/8, 62, 30, 37, 3, 6, 1
2020/5/9, 92, 26, 36, 3, 8, 2
2020/5/10, 72, 12, 39, 4, 4, 
2020/5/11, 45, 5, 36, 5, 7, 1
2020/5/12, 18, 11, 34, 7, 7, 1
2020/5/13, 40, 27, 34, 7, 5, 3
2020/5/14, 68, 8, 36, 6, 7, 
2020/5/15, 31, 8, 40, 2, 7, 
2020/5/16, 30, 6, 40, 3, 6, 
2020/5/17, 25, 6, 36, 6, 9, 1
2020/5/18, 25, 10, 32, 11, 6, 2
2020/5/19, 38, 4, 39, 2, 12, 
2020/5/20, 17, 5, 43, 1, 3, 
2020/5/21, 22, 9, 39, 5, 9, 1
2020/5/22, 33, 22, 36, 7, 12, 2
2020/5/23, 69, 14, 36, 5, 8, 
2020/5/24, 48, 10, 37, 6, 7, 1
2020/5/25, 37, 11, 37, 5, 11, 
2020/5/26, 45, 11, 32, 8, 16, 1
2020/5/27, 44, 9, 43, 5, 16, 1
2020/5/28, 34, 2, 41, , 6, 
2020/5/29, 8, 3, 42, , 8, 
2020/5/30, 13, 2, 40, , 8, 
2020/5/31, 9, 3, 41, 2, 9, 1
2020/6/1, 10, 4, 41, 2, 11, 1
2020/6/2, 17, 8, 33, 3, 12, 2
2020/6/3, 31, 8, 32, 5, 11, 2
2020/6/4, 34, 10, 34, 7, 8, 1
2020/6/5, 42, 12, 38, 3, 12, 
2020/6/6, 45, 11, 33, 7, 16, 2
2020/6/7, 46, 14, 36, 8, 5, 1
2020/6/8, 48, 11, 34, 7, 6, 1
2020/6/9, 42, 22, 32, 8, 10, 2
2020/6/10, 73, 23, 28, 12, 26, 2
2020/6/11, 77, 21, 25, 13, 37, 1
2020/6/12, 72, 12, 35, 7, 23, 1
2020/6/13, 48, 5, 41, 2, 15, 
2020/6/14, 22, 6, 31, 8, 19, 2
2020/6/15, 26, 10, 29, 7, 21, 2
2020/6/16, 39, 13, 37, 12, 28, 2
2020/6/17, 49, 12, 25, 15, 31, 2
2020/6/18, 48, 17, 27, 18, 36, 3
2020/6/19, 62, 21, 26, 18, 36, 2
2020/6/20, 68, 15, 26, 11, 35, 1
