date, pm25, pm10, o3, no2, so2, co
2020/1/30, 72, 15, 2, 13, , 3
2020/1/31, 55, 13, 1, 16, , 2
2020/2/1, 46, 5, 6, 8, , 2
2020/2/2, 19, 16, 7, 10, 1, 3
2020/2/3, 49, 26, 7, 9, 2, 3
2020/2/4, 80, 13, 9, 11, 1, 3
2020/2/5, 44, 4, 10, 9, , 2
2020/2/6, 13, 20, 8, 12, 1, 3
2020/2/7, 58, 31, 6, 13, , 3
2020/2/8, 90, 54, 4, 11, 1, 3
2020/2/9, 142, 12, 4, 13, , 2
2020/2/10, 43, 7, 5, 11, , 2
2020/2/11, 26, 5, 4, 10, , 2
2020/2/12, 20, 11, 4, 11, 1, 2
2020/2/13, 35, 37, 6, 11, 5, 3
2020/2/14, 105, 68, 3, 11, 11, 5
2020/2/15, 157, 32, 3, 11, 3, 2
2020/2/16, 96, 8, 2, 15, 3, 2
2020/2/17, 28, 9, 3, 14, , 2
2020/2/18, 36, 15, 4, 12, , 2
2020/2/19, 53, 12, 27, 16, 2, 3
2020/2/20, 45, 21, 27, 18, 1, 3
2020/2/21, 64, 12, 27, 12, , 2
2020/2/22, 45, 8, 35, 10, 1, 2
2020/2/23, 27, 9, 29, 12, 1, 2
2020/2/24, 31, 23, 25, 20, 4, 6
2020/2/25, 74, 13, 27, 15, 1, 2
2020/2/26, 48, 6, 25, 14, , 2
2020/2/27, 23, 12, 24, 20, 1, 3
2020/2/28, 42, 16, 28, 13, , 2
2020/2/29, 56, 15, 20, 15, 2, 3
2020/3/1, 54, 21, 19, 19, 4, 5
2020/3/2, 70, 43, 14, 16, 7, 6
2020/3/3, 123, 28, 18, 20, 5, 5
2020/3/4, 81, 37, 18, 21, 6, 6
2020/3/5, 105, 30, 28, 12, 2, 4
2020/3/6, 89, 44, 21, 16, 6, 6
2020/3/7, 115, 21, 25, 13, 2, 3
2020/3/8, 70, 39, 25, 14, 2, 4
2020/3/9, 115, 38, 19, 19, 1, 4
2020/3/10, 109, 16, 13, 32, 2, 3
2020/3/11, 52, 12, , 43, 6, 
2020/3/12, 40, , , , , 
2020/1/29, , 21, 2, 12, , 3
